city,Ncasos,Ncasos/1000H
SÃO JOSÉ DO BREJO DO CRUZ,11,6.11
SÃO JOSÉ DO SABUGI,218,52.65
SÃO JOSÉ DOS CORDEIROS,39,10.75
SÃO JOSÉ DOS RAMOS,237,39.79
SÃO JOÃO DO CARIRI,96,22.87
SÃO JOÃO DO RIO DO PEIXE,237,13.15
SÃO JOÃO DO TIGRE,11,2.49
SÃO MAMEDE,38,4.92
SÃO MIGUEL DE TAIPU,131,17.78
SÃO SEBASTIÃO DE LAGOA DE ROÇA,220,18.87
SÃO SEBASTIÃO DO UMBUZEIRO,13,3.73
SÃO VICENTE DO SERIDÓ,47,4.37
TACIMA,123,11.28
TAPEROÁ,70,4.56
TAVARES,109,7.41
TEIXEIRA,168,11.9
TENÓRIO,16,5.24
TRIUNFO,55,5.82
UIRAÚNA,94,6.17
UMBUZEIRO,75,7.57
VIEIRÓPOLIS,6,1.13
VISTA SERRANA,7,1.85
VÁRZEA,15,5.34
ZABELÊ,25,11.16
ÁGUA BRANCA,50,4.89
