city,Ncasos,Ncasos/1000H
SALGADO DE SÃO FÉLIX,96,7.907742998352553
SANTA CECÍLIA,15,2.2872827081427265
SANTA CRUZ,12,1.8228771077016557
SANTA HELENA,9,1.5282730514518594
SANTA INÊS,9,2.5034770514603615
SANTA LUZIA,159,10.336757248732285
SANTA RITA,1205,8.822086698050356
SANTA TERESINHA,29,6.341570085283184
SANTANA DE MANGUEIRA,1,0.19372336303758234
SANTANA DOS GARROTES,4,0.5689091167685962
SANTO ANDRÉ,5,1.9833399444664817
SAPÉ,459,8.722090261282661
SERRA BRANCA,37,2.700927074968976
SERRA GRANDE,5,1.7188037126160192
SERRA REDONDA,125,17.753160062491123
SERRA DA RAIZ,12,3.8119440914866582
SERRARIA,22,3.6071487129037547
SERTÃOZINHO,34,6.767515923566879
SOBRADO,64,8.223050237697546
SOLEDADE,82,5.470678497564881
SOLÂNEA,150,5.680312038474647
SOSSÊGO,5,1.4064697609001406
SOUSA,483,6.955244513564887
SUMÉ,47,2.7702463751031474
SÃO BENTINHO,20,4.41598586884522
SÃO BENTO,549,16.132349916252828
SÃO DOMINGOS DO CARIRI,6,2.294455066921606
SÃO FRANCISCO,7,2.063679245283019
SÃO JOSÉ DA LAGOA TAPADA,18,2.3591087811271296
SÃO JOSÉ DE CAIANA,23,3.616920899512502
SÃO JOSÉ DE ESPINHARAS,5,1.0679196924391285
SÃO JOSÉ DE PIRANHAS,37,1.827070268134907
SÃO JOSÉ DE PRINCESA,1,0.2498126405196103
SÃO JOSÉ DO BONFIM,48,13.494517852122575
SÃO JOSÉ DO BREJO DO CRUZ,2,1.110494169905608
SÃO JOSÉ DO SABUGI,140,33.808258874667956
SÃO JOSÉ DOS CORDEIROS,4,1.1025358324145536
SÃO JOSÉ DOS RAMOS,78,13.093839180795703
SÃO JOÃO DO CARIRI,24,5.715646582519647
SÃO JOÃO DO RIO DO PEIXE,34,1.8853277143174005
SÃO JOÃO DO TIGRE,3,0.6784260515603799
SÃO MAMEDE,24,3.1071983428275507
SÃO MIGUEL DE TAIPU,67,9.093376764386536
SÃO SEBASTIÃO DE LAGOA DE ROÇA,118,10.11920075465226
SÃO SEBASTIÃO DO UMBUZEIRO,4,1.1464603038119805
SÃO VICENTE DO SERIDÓ,23,2.1345707656612527
TACIMA,51,4.6741820181468245
TAPEROÁ,43,2.7965660770031215
TAVARES,25,1.697677577074562
TEIXEIRA,58,3.8256051711628523
TENÓRIO,11,3.597122302158273
TRIUNFO,7,0.74034902168165
UIRAÚNA,19,1.246555570135153
UMBUZEIRO,30,3.028161905723226
VIEIRÓPOLIS,4,0.7479431563201197
VISTA SERRANA,3,0.7898894154818326
VÁRZEA,7,2.491103202846975
ZABELÊ,1,0.44642857142857145
ÁGUA BRANCA,23,2.2474105921438343
CASO SEM LOCALIZAÇÃO DEFINIDA,437
