city,Ncasos,Ncasos/1000H
SÃO JOSÉ DOS RAMOS,78,13.1
SÃO JOÃO DO CARIRI,24,5.72
SÃO JOÃO DO RIO DO PEIXE,34,1.89
SÃO JOÃO DO TIGRE,3,0.68
SÃO MAMEDE,24,3.11
SÃO MIGUEL DE TAIPU,67,9.1
SÃO SEBASTIÃO DE LAGOA DE ROÇA,118,10.12
SÃO SEBASTIÃO DO UMBUZEIRO,4,1.15
SÃO VICENTE DO SERIDÓ,23,2.14
TACIMA,51,4.68
TAPEROÁ,43,2.8
TAVARES,25,1.7
TEIXEIRA,58,3.83
TENÓRIO,11,3.6
TRIUNFO,7,0.74
UIRAÚNA,19,1.25
UMBUZEIRO,30,3.3
VIEIRÓPOLIS,4,0.75
VISTA SERRANA,3,0.79
VÁRZEA,7,2.5
ZABELÊ,1,0.45
ÁGUA BRANCA,23,2.25
